modality,state,interpolation_alpha,condition,task,metric,pairs,mean
preference,projector-interp000,0.0,shuffled_image,spatial,mean_margin,50,-0.7141588792204857
preference,projector-interp000,0.0,vision,overall,paired_preference,300,0.5266666666666666
preference,projector-interp000,0.0,vision,overall,sample_preference,300,0.7583333333333333
preference,projector-interp000,0.0,vision,overall,mean_margin,300,1.8123680175723516
preference,projector-interp000,0.0,vision,color,paired_preference,50,0.58
preference,projector-interp000,0.0,vision,color,sample_preference,50,0.79
preference,projector-interp000,0.0,vision,color,mean_margin,50,2.056249995082617
preference,projector-interp000,0.0,vision,coordinate,paired_preference,50,0.44
preference,projector-interp000,0.0,vision,coordinate,sample_preference,50,0.72
preference,projector-interp000,0.0,vision,coordinate,mean_margin,50,0.711889134645462
preference,projector-interp000,0.0,vision,count,paired_preference,50,0.42
preference,projector-interp000,0.0,vision,count,sample_preference,50,0.68
preference,projector-interp000,0.0,vision,count,mean_margin,50,0.3656249940395355
preference,projector-interp000,0.0,vision,ocr,paired_preference,50,0.18
preference,projector-interp000,0.0,vision,ocr,sample_preference,50,0.59
preference,projector-interp000,0.0,vision,ocr,mean_margin,50,0.6160619808378673
preference,projector-interp000,0.0,vision,shape,paired_preference,50,0.8
preference,projector-interp000,0.0,vision,shape,sample_preference,50,0.9
preference,projector-interp000,0.0,vision,shape,mean_margin,50,6.159374992365483
preference,projector-interp000,0.0,vision,spatial,paired_preference,50,0.74
preference,projector-interp000,0.0,vision,spatial,sample_preference,50,0.87
preference,projector-interp000,0.0,vision,spatial,mean_margin,50,0.9650070084631444
preference,projector-interp025,0.25,paired_counterfactual_image,overall,paired_preference,300,0.01
preference,projector-interp025,0.25,paired_counterfactual_image,overall,sample_preference,300,0.22333333333333333
preference,projector-interp025,0.25,paired_counterfactual_image,overall,mean_margin,300,-2.0467922836402432
preference,projector-interp025,0.25,paired_counterfactual_image,color,paired_preference,50,0.0
preference,projector-interp025,0.25,paired_counterfactual_image,color,sample_preference,50,0.17
preference,projector-interp025,0.25,paired_counterfactual_image,color,mean_margin,50,-2.448124999459833
preference,projector-interp025,0.25,paired_counterfactual_image,coordinate,paired_preference,50,0.0
preference,projector-interp025,0.25,paired_counterfactual_image,coordinate,sample_preference,50,0.26
preference,projector-interp025,0.25,paired_counterfactual_image,coordinate,mean_margin,50,-0.9244697690010071
preference,projector-interp025,0.25,paired_counterfactual_image,count,paired_preference,50,0.06
preference,projector-interp025,0.25,paired_counterfactual_image,count,sample_preference,50,0.34
preference,projector-interp025,0.25,paired_counterfactual_image,count,mean_margin,50,-0.3874999988079071
preference,projector-interp025,0.25,paired_counterfactual_image,ocr,paired_preference,50,0.0
preference,projector-interp025,0.25,paired_counterfactual_image,ocr,sample_preference,50,0.42
preference,projector-interp025,0.25,paired_counterfactual_image,ocr,mean_margin,50,-0.6840616655349732
preference,projector-interp025,0.25,paired_counterfactual_image,shape,paired_preference,50,0.0
preference,projector-interp025,0.25,paired_counterfactual_image,shape,sample_preference,50,0.15
preference,projector-interp025,0.25,paired_counterfactual_image,shape,mean_margin,50,-6.275312450760976
preference,projector-interp025,0.25,paired_counterfactual_image,spatial,paired_preference,50,0.0
preference,projector-interp025,0.25,paired_counterfactual_image,spatial,sample_preference,50,0.0
preference,projector-interp025,0.25,paired_counterfactual_image,spatial,mean_margin,50,-1.561284818276763
preference,projector-interp025,0.25,shuffled_image,overall,paired_preference,300,0.12666666666666668
preference,projector-interp025,0.25,shuffled_image,overall,sample_preference,300,0.44666666666666666
preference,projector-interp025,0.25,shuffled_image,overall,mean_margin,300,-0.1548750104943645
preference,projector-interp025,0.25,shuffled_image,color,paired_preference,50,0.18
preference,projector-interp025,0.25,shuffled_image,color,sample_preference,50,0.47
preference,projector-interp025,0.25,shuffled_image,color,mean_margin,50,-0.113125019967556
preference,projector-interp025,0.25,shuffled_image,coordinate,paired_preference,50,0.12
preference,projector-interp025,0.25,shuffled_image,coordinate,sample_preference,50,0.53
preference,projector-interp025,0.25,shuffled_image,coordinate,mean_margin,50,0.07601957321166992
preference,projector-interp025,0.25,shuffled_image,count,paired_preference,50,0.14
preference,projector-interp025,0.25,shuffled_image,count,sample_preference,50,0.49
preference,projector-interp025,0.25,shuffled_image,count,mean_margin,50,-0.004375006556510925
preference,projector-interp025,0.25,shuffled_image,ocr,paired_preference,50,0.1
preference,projector-interp025,0.25,shuffled_image,ocr,sample_preference,50,0.52
preference,projector-interp025,0.25,shuffled_image,ocr,mean_margin,50,-0.016769970144544337
preference,projector-interp025,0.25,shuffled_image,shape,paired_preference,50,0.22
preference,projector-interp025,0.25,shuffled_image,shape,sample_preference,50,0.54
preference,projector-interp025,0.25,shuffled_image,shape,mean_margin,50,0.24593752545304595
preference,projector-interp025,0.25,shuffled_image,spatial,paired_preference,50,0.0
preference,projector-interp025,0.25,shuffled_image,spatial,sample_preference,50,0.13
preference,projector-interp025,0.25,shuffled_image,spatial,mean_margin,50,-1.1169371649622917
preference,projector-interp025,0.25,vision,overall,paired_preference,300,0.5333333333333333
preference,projector-interp025,0.25,vision,overall,sample_preference,300,0.7616666666666667
preference,projector-interp025,0.25,vision,overall,mean_margin,300,2.0467922836402432
preference,projector-interp025,0.25,vision,color,paired_preference,50,0.6
preference,projector-interp025,0.25,vision,color,sample_preference,50,0.8
preference,projector-interp025,0.25,vision,color,mean_margin,50,2.448124999459833
preference,projector-interp025,0.25,vision,coordinate,paired_preference,50,0.48
preference,projector-interp025,0.25,vision,coordinate,sample_preference,50,0.74
preference,projector-interp025,0.25,vision,coordinate,mean_margin,50,0.9244697690010071
preference,projector-interp025,0.25,vision,count,paired_preference,50,0.26
preference,projector-interp025,0.25,vision,count,sample_preference,50,0.6
preference,projector-interp025,0.25,vision,count,mean_margin,50,0.3874999988079071
preference,projector-interp025,0.25,vision,ocr,paired_preference,50,0.16
preference,projector-interp025,0.25,vision,ocr,sample_preference,50,0.58
preference,projector-interp025,0.25,vision,ocr,mean_margin,50,0.6840616655349732
preference,projector-interp025,0.25,vision,shape,paired_preference,50,0.7
preference,projector-interp025,0.25,vision,shape,sample_preference,50,0.85
preference,projector-interp025,0.25,vision,shape,mean_margin,50,6.275312450760976
preference,projector-interp025,0.25,vision,spatial,paired_preference,50,1.0
preference,projector-interp025,0.25,vision,spatial,sample_preference,50,1.0
preference,projector-interp025,0.25,vision,spatial,mean_margin,50,1.561284818276763
preference,projector-interp050,0.5,paired_counterfactual_image,overall,paired_preference,300,0.01
preference,projector-interp050,0.5,paired_counterfactual_image,overall,sample_preference,300,0.22666666666666666
preference,projector-interp050,0.5,paired_counterfactual_image,overall,mean_margin,300,-2.250812241594377
preference,projector-interp050,0.5,paired_counterfactual_image,color,paired_preference,50,0.0
preference,projector-interp050,0.5,paired_counterfactual_image,color,sample_preference,50,0.12
preference,projector-interp050,0.5,paired_counterfactual_image,color,mean_margin,50,-2.8343750092061235
preference,projector-interp050,0.5,paired_counterfactual_image,coordinate,paired_preference,50,0.0
preference,projector-interp050,0.5,paired_counterfactual_image,coordinate,sample_preference,50,0.24
preference,projector-interp050,0.5,paired_counterfactual_image,coordinate,mean_margin,50,-1.1652903932332992
preference,projector-interp050,0.5,paired_counterfactual_image,count,paired_preference,50,0.06
preference,projector-interp050,0.5,paired_counterfactual_image,count,sample_preference,50,0.43
preference,projector-interp050,0.5,paired_counterfactual_image,count,mean_margin,50,-0.3818749940395355
preference,projector-interp050,0.5,paired_counterfactual_image,ocr,paired_preference,50,0.0
preference,projector-interp050,0.5,paired_counterfactual_image,ocr,sample_preference,50,0.4
preference,projector-interp050,0.5,paired_counterfactual_image,ocr,mean_margin,50,-0.7271896489234198
preference,projector-interp050,0.5,paired_counterfactual_image,shape,paired_preference,50,0.0
preference,projector-interp050,0.5,paired_counterfactual_image,shape,sample_preference,50,0.17
preference,projector-interp050,0.5,paired_counterfactual_image,shape,mean_margin,50,-6.097187495299149
preference,projector-interp050,0.5,paired_counterfactual_image,spatial,paired_preference,50,0.0
preference,projector-interp050,0.5,paired_counterfactual_image,spatial,sample_preference,50,0.0
preference,projector-interp050,0.5,paired_counterfactual_image,spatial,mean_margin,50,-2.2989559088647367
preference,projector-interp050,0.5,shuffled_image,overall,paired_preference,300,0.13333333333333333
preference,projector-interp050,0.5,shuffled_image,overall,sample_preference,300,0.44
preference,projector-interp050,0.5,shuffled_image,overall,mean_margin,300,-0.22579795524108756
preference,projector-interp050,0.5,shuffled_image,color,paired_preference,50,0.24
preference,projector-interp050,0.5,shuffled_image,color,sample_preference,50,0.47
preference,projector-interp050,0.5,shuffled_image,color,mean_margin,50,-0.08687501892447472
preference,projector-interp050,0.5,shuffled_image,coordinate,paired_preference,50,0.14
preference,projector-interp050,0.5,shuffled_image,coordinate,sample_preference,50,0.53
preference,projector-interp050,0.5,shuffled_image,coordinate,mean_margin,50,0.09687761425971984
preference,projector-interp050,0.5,shuffled_image,count,paired_preference,50,0.14
preference,projector-interp050,0.5,shuffled_image,count,sample_preference,50,0.45
preference,projector-interp050,0.5,shuffled_image,count,mean_margin,50,-0.014374998211860657
preference,projector-interp050,0.5,shuffled_image,ocr,paired_preference,50,0.12
preference,projector-interp050,0.5,shuffled_image,ocr,sample_preference,50,0.54
preference,projector-interp050,0.5,shuffled_image,ocr,mean_margin,50,-0.01878405080522811
preference,projector-interp050,0.5,shuffled_image,shape,paired_preference,50,0.16
preference,projector-interp050,0.5,shuffled_image,shape,sample_preference,50,0.52
preference,projector-interp050,0.5,shuffled_image,shape,mean_margin,50,0.25156252421205866
preference,projector-interp050,0.5,shuffled_image,spatial,paired_preference,50,0.0
preference,projector-interp050,0.5,shuffled_image,spatial,sample_preference,50,0.13
preference,projector-interp050,0.5,shuffled_image,spatial,mean_margin,50,-1.5831938019767404
preference,projector-interp050,0.5,vision,overall,paired_preference,300,0.5266666666666666
preference,projector-interp050,0.5,vision,overall,sample_preference,300,0.7566666666666667
preference,projector-interp050,0.5,vision,overall,mean_margin,300,2.250812241594377
preference,projector-interp050,0.5,vision,color,paired_preference,50,0.68
preference,projector-interp050,0.5,vision,color,sample_preference,50,0.84
preference,projector-interp050,0.5,vision,color,mean_margin,50,2.8343750092061235
preference,projector-interp050,0.5,vision,coordinate,paired_preference,50,0.5
preference,projector-interp050,0.5,vision,coordinate,sample_preference,50,0.75
preference,projector-interp050,0.5,vision,coordinate,mean_margin,50,1.1652903932332992
preference,projector-interp050,0.5,vision,count,paired_preference,50,0.14
preference,projector-interp050,0.5,vision,count,sample_preference,50,0.53
preference,projector-interp050,0.5,vision,count,mean_margin,50,0.3818749940395355
preference,projector-interp050,0.5,vision,ocr,paired_preference,50,0.2
preference,projector-interp050,0.5,vision,ocr,sample_preference,50,0.6
preference,projector-interp050,0.5,vision,ocr,mean_margin,50,0.7271896489234198
preference,projector-interp050,0.5,vision,shape,paired_preference,50,0.64
preference,projector-interp050,0.5,vision,shape,sample_preference,50,0.82
preference,projector-interp050,0.5,vision,shape,mean_margin,50,6.097187495299149
preference,projector-interp050,0.5,vision,spatial,paired_preference,50,1.0
preference,projector-interp050,0.5,vision,spatial,sample_preference,50,1.0
preference,projector-interp050,0.5,vision,spatial,mean_margin,50,2.2989559088647367
preference,projector-interp075,0.75,paired_counterfactual_image,overall,paired_preference,300,0.013333333333333334
preference,projector-interp075,0.75,paired_counterfactual_image,overall,sample_preference,300,0.24166666666666667
preference,projector-interp075,0.75,paired_counterfactual_image,overall,mean_margin,300,-2.4143689127496466
preference,projector-interp075,0.75,paired_counterfactual_image,color,paired_preference,50,0.0
preference,projector-interp075,0.75,paired_counterfactual_image,color,sample_preference,50,0.12
preference,projector-interp075,0.75,paired_counterfactual_image,color,mean_margin,50,-3.204375007872004
preference,projector-interp075,0.75,paired_counterfactual_image,coordinate,paired_preference,50,0.0
preference,projector-interp075,0.75,paired_counterfactual_image,coordinate,sample_preference,50,0.22
preference,projector-interp075,0.75,paired_counterfactual_image,coordinate,mean_margin,50,-1.3981344178318977
preference,projector-interp075,0.75,paired_counterfactual_image,count,paired_preference,50,0.08
preference,projector-interp075,0.75,paired_counterfactual_image,count,sample_preference,50,0.45
preference,projector-interp075,0.75,paired_counterfactual_image,count,mean_margin,50,-0.36812500417232513
preference,projector-interp075,0.75,paired_counterfactual_image,ocr,paired_preference,50,0.0
preference,projector-interp075,0.75,paired_counterfactual_image,ocr,sample_preference,50,0.4
preference,projector-interp075,0.75,paired_counterfactual_image,ocr,mean_margin,50,-0.7549968341418675
preference,projector-interp075,0.75,paired_counterfactual_image,shape,paired_preference,50,0.0
preference,projector-interp075,0.75,paired_counterfactual_image,shape,sample_preference,50,0.26
preference,projector-interp075,0.75,paired_counterfactual_image,shape,mean_margin,50,-5.641562482696027
preference,projector-interp075,0.75,paired_counterfactual_image,spatial,paired_preference,50,0.0
preference,projector-interp075,0.75,paired_counterfactual_image,spatial,sample_preference,50,0.0
preference,projector-interp075,0.75,paired_counterfactual_image,spatial,mean_margin,50,-3.1190197297837585
preference,projector-interp075,0.75,shuffled_image,overall,paired_preference,300,0.13666666666666666
preference,projector-interp075,0.75,shuffled_image,overall,sample_preference,300,0.445
preference,projector-interp075,0.75,shuffled_image,overall,mean_margin,300,-0.27375784292423894
preference,projector-interp075,0.75,shuffled_image,color,paired_preference,50,0.26
preference,projector-interp075,0.75,shuffled_image,color,sample_preference,50,0.51
preference,projector-interp075,0.75,shuffled_image,color,mean_margin,50,-0.045000024363398554
preference,projector-interp075,0.75,shuffled_image,coordinate,paired_preference,50,0.16
preference,projector-interp075,0.75,shuffled_image,coordinate,sample_preference,50,0.53
preference,projector-interp075,0.75,shuffled_image,coordinate,mean_margin,50,0.12127563208341599
preference,projector-interp075,0.75,shuffled_image,count,paired_preference,50,0.16
preference,projector-interp075,0.75,shuffled_image,count,sample_preference,50,0.46
preference,projector-interp075,0.75,shuffled_image,count,mean_margin,50,-0.026249985992908478
preference,projector-interp075,0.75,shuffled_image,ocr,paired_preference,50,0.1
preference,projector-interp075,0.75,shuffled_image,ocr,sample_preference,50,0.53
preference,projector-interp075,0.75,shuffled_image,ocr,mean_margin,50,-0.019062045733133956
preference,projector-interp075,0.75,shuffled_image,shape,paired_preference,50,0.14
preference,projector-interp075,0.75,shuffled_image,shape,sample_preference,50,0.51
preference,projector-interp075,0.75,shuffled_image,shape,mean_margin,50,0.33156249969266355
preference,projector-interp075,0.75,shuffled_image,spatial,paired_preference,50,0.0
preference,projector-interp075,0.75,shuffled_image,spatial,sample_preference,50,0.13
preference,projector-interp075,0.75,shuffled_image,spatial,mean_margin,50,-2.005073133232072
preference,projector-interp075,0.75,vision,overall,paired_preference,300,0.5233333333333333
preference,projector-interp075,0.75,vision,overall,sample_preference,300,0.755
preference,projector-interp075,0.75,vision,overall,mean_margin,300,2.4143689127496466
preference,projector-interp075,0.75,vision,color,paired_preference,50,0.76
preference,projector-interp075,0.75,vision,color,sample_preference,50,0.88
preference,projector-interp075,0.75,vision,color,mean_margin,50,3.204375007872004
preference,projector-interp075,0.75,vision,coordinate,paired_preference,50,0.56
preference,projector-interp075,0.75,vision,coordinate,sample_preference,50,0.78
preference,projector-interp075,0.75,vision,coordinate,mean_margin,50,1.3981344178318977
preference,projector-interp075,0.75,vision,count,paired_preference,50,0.14
preference,projector-interp075,0.75,vision,count,sample_preference,50,0.53
preference,projector-interp075,0.75,vision,count,mean_margin,50,0.36812500417232513
preference,projector-interp075,0.75,vision,ocr,paired_preference,50,0.2
preference,projector-interp075,0.75,vision,ocr,sample_preference,50,0.6
preference,projector-interp075,0.75,vision,ocr,mean_margin,50,0.7549968341418675
preference,projector-interp075,0.75,vision,shape,paired_preference,50,0.48
preference,projector-interp075,0.75,vision,shape,sample_preference,50,0.74
preference,projector-interp075,0.75,vision,shape,mean_margin,50,5.641562482696027
preference,projector-interp075,0.75,vision,spatial,paired_preference,50,1.0
preference,projector-interp075,0.75,vision,spatial,sample_preference,50,1.0
preference,projector-interp075,0.75,vision,spatial,mean_margin,50,3.1190197297837585
preference,projector-interp100,1.0,paired_counterfactual_image,overall,paired_preference,300,0.016666666666666666
preference,projector-interp100,1.0,paired_counterfactual_image,overall,sample_preference,300,0.245
preference,projector-interp100,1.0,paired_counterfactual_image,overall,mean_margin,300,-2.5322879816515433
preference,projector-interp100,1.0,paired_counterfactual_image,color,paired_preference,50,0.0
preference,projector-interp100,1.0,paired_counterfactual_image,color,sample_preference,50,0.11
preference,projector-interp100,1.0,paired_counterfactual_image,color,mean_margin,50,-3.600000024421606
preference,projector-interp100,1.0,paired_counterfactual_image,coordinate,paired_preference,50,0.0
preference,projector-interp100,1.0,paired_counterfactual_image,coordinate,sample_preference,50,0.23
preference,projector-interp100,1.0,paired_counterfactual_image,coordinate,mean_margin,50,-1.5377499413490296
preference,projector-interp100,1.0,paired_counterfactual_image,count,paired_preference,50,0.1
preference,projector-interp100,1.0,paired_counterfactual_image,count,sample_preference,50,0.48
preference,projector-interp100,1.0,paired_counterfactual_image,count,mean_margin,50,-0.35125000417232516
preference,projector-interp100,1.0,paired_counterfactual_image,ocr,paired_preference,50,0.0
preference,projector-interp100,1.0,paired_counterfactual_image,ocr,sample_preference,50,0.39
preference,projector-interp100,1.0,paired_counterfactual_image,ocr,mean_margin,50,-0.7732174833842685
preference,projector-interp100,1.0,paired_counterfactual_image,shape,paired_preference,50,0.0
preference,projector-interp100,1.0,paired_counterfactual_image,shape,sample_preference,50,0.26
preference,projector-interp100,1.0,paired_counterfactual_image,shape,mean_margin,50,-4.946562510877848
preference,projector-interp100,1.0,paired_counterfactual_image,spatial,paired_preference,50,0.0
preference,projector-interp100,1.0,paired_counterfactual_image,spatial,sample_preference,50,0.0
preference,projector-interp100,1.0,paired_counterfactual_image,spatial,mean_margin,50,-3.984947925704182
preference,projector-interp100,1.0,shuffled_image,overall,paired_preference,300,0.14666666666666667
preference,projector-interp100,1.0,shuffled_image,overall,sample_preference,300,0.44166666666666665
preference,projector-interp100,1.0,shuffled_image,overall,mean_margin,300,-0.30473046509010276
preference,projector-interp100,1.0,shuffled_image,color,paired_preference,50,0.28
preference,projector-interp100,1.0,shuffled_image,color,sample_preference,50,0.51
preference,projector-interp100,1.0,shuffled_image,color,mean_margin,50,0.009999985098838806
preference,projector-interp100,1.0,shuffled_image,coordinate,paired_preference,50,0.16
preference,projector-interp100,1.0,shuffled_image,coordinate,sample_preference,50,0.52
preference,projector-interp100,1.0,shuffled_image,coordinate,mean_margin,50,0.10555765390396118
preference,projector-interp100,1.0,shuffled_image,count,paired_preference,50,0.16
preference,projector-interp100,1.0,shuffled_image,count,sample_preference,50,0.45
preference,projector-interp100,1.0,shuffled_image,count,mean_margin,50,-0.039999998658895496
preference,projector-interp100,1.0,shuffled_image,ocr,paired_preference,50,0.12
preference,projector-interp100,1.0,shuffled_image,ocr,sample_preference,50,0.52
preference,projector-interp100,1.0,shuffled_image,ocr,mean_margin,50,-0.01788814179102578
preference,projector-interp100,1.0,shuffled_image,shape,paired_preference,50,0.16
preference,projector-interp100,1.0,shuffled_image,shape,sample_preference,50,0.52
preference,projector-interp100,1.0,shuffled_image,shape,mean_margin,50,0.41281252628192305
preference,projector-interp100,1.0,shuffled_image,spatial,paired_preference,50,0.0
preference,projector-interp100,1.0,shuffled_image,spatial,sample_preference,50,0.13
preference,projector-interp100,1.0,shuffled_image,spatial,mean_margin,50,-2.2988648153754183
preference,projector-interp100,1.0,vision,overall,paired_preference,300,0.5166666666666667
preference,projector-interp100,1.0,vision,overall,sample_preference,300,0.75
preference,projector-interp100,1.0,vision,overall,mean_margin,300,2.5322879816515433
preference,projector-interp100,1.0,vision,color,paired_preference,50,0.74
preference,projector-interp100,1.0,vision,color,sample_preference,50,0.87
preference,projector-interp100,1.0,vision,color,mean_margin,50,3.600000024421606
preference,projector-interp100,1.0,vision,coordinate,paired_preference,50,0.54
preference,projector-interp100,1.0,vision,coordinate,sample_preference,50,0.77
preference,projector-interp100,1.0,vision,coordinate,mean_margin,50,1.5377499413490296
preference,projector-interp100,1.0,vision,count,paired_preference,50,0.12
preference,projector-interp100,1.0,vision,count,sample_preference,50,0.51
