state,kind,adaptation_step,adaptation_examples_seen,condition,task,records,pairs,accuracy,paired_accuracy,answer_flip_accuracy,prediction_flip_rate
lora-step50,lora,50,1200,paired_counterfactual_image,overall,600,300,0.22666666666666666,0.1,0.1,0.4066666666666667
lora-step50,lora,50,1200,paired_counterfactual_image,color,100,50,0.06,0.0,0.0,0.22
lora-step50,lora,50,1200,paired_counterfactual_image,coordinate,100,50,0.0,0.0,0.0,0.0
lora-step50,lora,50,1200,paired_counterfactual_image,count,100,50,0.0,0.0,0.0,0.62
lora-step50,lora,50,1200,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.7
lora-step50,lora,50,1200,paired_counterfactual_image,shape,100,50,0.8,0.6,0.6,0.9
lora-step50,lora,50,1200,paired_counterfactual_image,spatial,100,50,0.5,0.0,0.0,0.0
lora-step100,lora,100,2400,vision,overall,600,300,0.21666666666666667,0.08,0.08,0.5633333333333334
lora-step100,lora,100,2400,vision,color,100,50,0.06,0.0,0.0,0.26
lora-step100,lora,100,2400,vision,coordinate,100,50,0.0,0.0,0.0,0.58
lora-step100,lora,100,2400,vision,count,100,50,0.0,0.0,0.0,0.76
lora-step100,lora,100,2400,vision,ocr,100,50,0.0,0.0,0.0,0.9
lora-step100,lora,100,2400,vision,shape,100,50,0.74,0.48,0.48,0.88
lora-step100,lora,100,2400,vision,spatial,100,50,0.5,0.0,0.0,0.0
lora-step100,lora,100,2400,paired_counterfactual_image,overall,600,300,0.21666666666666667,0.08,0.08,0.5633333333333334
lora-step100,lora,100,2400,paired_counterfactual_image,color,100,50,0.06,0.0,0.0,0.26
lora-step100,lora,100,2400,paired_counterfactual_image,coordinate,100,50,0.0,0.0,0.0,0.58
lora-step100,lora,100,2400,paired_counterfactual_image,count,100,50,0.0,0.0,0.0,0.76
lora-step100,lora,100,2400,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.9
lora-step100,lora,100,2400,paired_counterfactual_image,shape,100,50,0.74,0.48,0.48,0.88
lora-step100,lora,100,2400,paired_counterfactual_image,spatial,100,50,0.5,0.0,0.0,0.0
projector-step25,projector,25,600,vision,overall,600,300,0.19166666666666668,0.03666666666666667,0.03666666666666667,0.4666666666666667
projector-step25,projector,25,600,vision,color,100,50,0.13,0.02,0.02,0.34
projector-step25,projector,25,600,vision,coordinate,100,50,0.0,0.0,0.0,0.26
projector-step25,projector,25,600,vision,count,100,50,0.11,0.04,0.04,0.74
projector-step25,projector,25,600,vision,ocr,100,50,0.0,0.0,0.0,0.94
projector-step25,projector,25,600,vision,shape,100,50,0.41,0.16,0.16,0.52
projector-step25,projector,25,600,vision,spatial,100,50,0.5,0.0,0.0,0.0
projector-step25,projector,25,600,paired_counterfactual_image,overall,600,300,0.19166666666666668,0.03666666666666667,0.03666666666666667,0.4666666666666667
projector-step25,projector,25,600,paired_counterfactual_image,color,100,50,0.13,0.02,0.02,0.34
projector-step25,projector,25,600,paired_counterfactual_image,coordinate,100,50,0.0,0.0,0.0,0.26
projector-step25,projector,25,600,paired_counterfactual_image,count,100,50,0.11,0.04,0.04,0.74
projector-step25,projector,25,600,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.94
projector-step25,projector,25,600,paired_counterfactual_image,shape,100,50,0.41,0.16,0.16,0.52
projector-step25,projector,25,600,paired_counterfactual_image,spatial,100,50,0.5,0.0,0.0,0.0
projector-step50,projector,50,1200,vision,overall,600,300,0.37666666666666665,0.22666666666666666,0.22666666666666666,0.7266666666666667
projector-step50,projector,50,1200,vision,color,100,50,0.37,0.14,0.14,0.72
projector-step50,projector,50,1200,vision,coordinate,100,50,0.17,0.02,0.02,0.42
projector-step50,projector,50,1200,vision,count,100,50,0.2,0.02,0.02,0.76
projector-step50,projector,50,1200,vision,ocr,100,50,0.0,0.0,0.0,0.8
projector-step50,projector,50,1200,vision,shape,100,50,0.63,0.4,0.4,0.88
projector-step50,projector,50,1200,vision,spatial,100,50,0.89,0.78,0.78,0.78
projector-step50,projector,50,1200,paired_counterfactual_image,overall,600,300,0.37666666666666665,0.22666666666666666,0.22666666666666666,0.7266666666666667
projector-step50,projector,50,1200,paired_counterfactual_image,color,100,50,0.37,0.14,0.14,0.72
projector-step50,projector,50,1200,paired_counterfactual_image,coordinate,100,50,0.17,0.02,0.02,0.42
projector-step50,projector,50,1200,paired_counterfactual_image,count,100,50,0.2,0.02,0.02,0.76
projector-step50,projector,50,1200,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.8
projector-step50,projector,50,1200,paired_counterfactual_image,shape,100,50,0.63,0.4,0.4,0.88
projector-step50,projector,50,1200,paired_counterfactual_image,spatial,100,50,0.89,0.78,0.78,0.78
projector-step100,projector,100,2400,vision,overall,600,300,0.41,0.25666666666666665,0.25666666666666665,0.7966666666666666
projector-step100,projector,100,2400,vision,color,100,50,0.38,0.16,0.16,0.7
projector-step100,projector,100,2400,vision,coordinate,100,50,0.51,0.24,0.24,0.88
projector-step100,projector,100,2400,vision,count,100,50,0.11,0.02,0.02,0.68
projector-step100,projector,100,2400,vision,ocr,100,50,0.0,0.0,0.0,0.96
projector-step100,projector,100,2400,vision,shape,100,50,0.46,0.12,0.12,0.56
projector-step100,projector,100,2400,vision,spatial,100,50,1.0,1.0,1.0,1.0
projector-step100,projector,100,2400,paired_counterfactual_image,overall,600,300,0.41,0.25666666666666665,0.25666666666666665,0.7966666666666666
projector-step100,projector,100,2400,paired_counterfactual_image,color,100,50,0.38,0.16,0.16,0.7
projector-step100,projector,100,2400,paired_counterfactual_image,coordinate,100,50,0.51,0.24,0.24,0.88
projector-step100,projector,100,2400,paired_counterfactual_image,count,100,50,0.11,0.02,0.02,0.68
projector-step100,projector,100,2400,paired_counterfactual_image,ocr,100,50,0.0,0.0,0.0,0.96
projector-step100,projector,100,2400,paired_counterfactual_image,shape,100,50,0.46,0.12,0.12,0.56
projector-step100,projector,100,2400,paired_counterfactual_image,spatial,100,50,1.0,1.0,1.0,1.0
